,Date,Close,Volume,Open,High,Low
19,2015-10-14,20800.0,296896,20800.0,20700.0,20800.0
20,2015-10-13,20800.0,230664,20900.0,20700.0,20800.0
21,2015-10-12,20900.0,479803,20600.0,20700.0,20900.0
2,2015-10-09,20600.0,557772,20200.0,20500.0,20700.0
3,2015-10-08,20200.0,541780,19900.0,19800.0,20700.0
4,2015-10-07,19900.0,188078,20200.0,20400.0,20400.0
5,2015-10-06,20200.0,895315,19600.0,19700.0,20400.0
6,2015-10-05,19600.0,220204,19500.0,19500.0,19600.0
7,2015-10-02,19500.0,158695,19400.0,19400.0,19500.0
8,2015-10-01,19400.0,227369,19400.0,19300.0,19500.0
9,2015-09-30,19400.0,123594,19400.0,19500.0,19600.0
10,2015-09-29,19400.0,299147,19300.0,19200.0,19500.0
11,2015-09-28,19300.0,265140,19700.0,19700.0,19900.0
12,2015-09-25,19700.0,322242,19500.0,19500.0,19700.0
13,2015-09-24,19500.0,989427,19300.0,19300.0,20400.0
14,2015-09-23,19300.0,207733,19200.0,19400.0,19400.0
15,2015-09-22,19200.0,302093,19300.0,19300.0,19500.0
16,2015-09-21,19300.0,139262,19300.0,19300.0,19400.0
17,2015-09-18,19300.0,290102,19100.0,19300.0,19500.0
18,2015-09-17,19100.0,647976,18700.0,18900.0,19400.0
19,2015-09-16,18700.0,95791,18700.0,18500.0,18800.0
20,2015-09-15,18700.0,153480,18900.0,19000.0,19000.0
21,2015-09-14,18900.0,119804,19000.0,19100.0,19400.0
2,2015-09-11,19000.0,161434,19200.0,19200.0,19300.0
3,2015-09-10,19200.0,259986,19500.0,19200.0,19500.0
4,2015-09-09,19500.0,702756,19000.0,19100.0,19500.0
5,2015-09-08,19000.0,301747,18100.0,18100.0,19000.0
6,2015-09-07,18100.0,140700,17900.0,17900.0,18300.0
7,2015-09-04,17900.0,129860,18100.0,17800.0,18200.0
8,2015-09-03,18100.0,131193,18200.0,18200.0,18400.0
9,2015-09-01,18200.0,219234,18300.0,18400.0,18400.0
10,2015-08-31,18300.0,186590,18800.0,18800.0,18900.0
11,2015-08-28,18800.0,559810,18600.0,18600.0,18800.0
12,2015-08-27,18600.0,267961,18400.0,18500.0,18900.0
13,2015-08-26,18400.0,565316,17800.0,18000.0,18500.0
14,2015-08-25,17800.0,729322,17100.0,17200.0,18000.0
15,2015-08-24,17100.0,1663746,18900.0,19400.0,20700.0
16,2015-08-21,18900.0,851858,18900.0,18800.0,18900.0
17,2015-08-20,18900.0,182245,19200.0,19400.0,19400.0
18,2015-08-19,19200.0,362735,19000.0,19000.0,19500.0
19,2015-08-18,19000.0,521619,18700.0,18600.0,19100.0
20,2015-08-17,18700.0,1125772,19800.0,19800.0,19800.0
21,2015-08-14,19800.0,772335,20100.0,20100.0,20100.0
2,2015-08-13,20100.0,552126,20500.0,20400.0,20500.0
3,2015-08-12,20500.0,491840,20900.0,20900.0,21200.0
4,2015-08-11,20900.0,309493,21200.0,21300.0,21600.0
5,2015-08-10,21200.0,287468,20500.0,20500.0,21200.0
6,2015-08-07,20500.0,220667,20500.0,20500.0,20800.0
7,2015-08-06,20500.0,197343,20900.0,21000.0,21000.0
8,2015-08-05,20900.0,288442,20600.0,20600.0,20900.0
9,2015-08-04,20600.0,435108,20800.0,21000.0,21000.0
10,2015-08-03,20800.0,745685,21600.0,21600.0,21600.0
11,2015-07-31,21600.0,342128,21700.0,21800.0,21800.0
12,2015-07-30,21700.0,338803,21700.0,21600.0,22000.0
13,2015-07-29,21700.0,334121,21900.0,21700.0,22000.0
