,Date,Close,Volume,Value,Open,High,Low
301,2019-02-12,1000.0,0,0,1000.0,1000.0,1000.0
302,2019-02-11,1000.0,0,0,1000.0,1000.0,1000.0
303,2019-02-01,1000.0,28000,28000000,1000.0,1000.0,1000.0
304,2019-01-31,1000.0,0,0,1000.0,1000.0,1000.0
305,2019-01-30,1000.0,0,0,1000.0,1000.0,1000.0
306,2019-01-29,1000.0,0,0,1000.0,1000.0,1000.0
307,2019-01-28,1000.0,0,0,1000.0,1000.0,1000.0
308,2019-01-25,1000.0,4000,4000000,1000.0,1000.0,1000.0
309,2019-01-24,1100.0,0,0,1100.0,1100.0,1100.0
310,2019-01-23,1100.0,0,0,1100.0,1100.0,1100.0
311,2019-01-22,1100.0,0,0,1100.0,1100.0,1100.0
312,2019-01-21,1100.0,0,0,1100.0,1100.0,1100.0
313,2019-01-18,1100.0,100,110000,1100.0,1100.0,1100.0
314,2019-01-17,1000.0,0,0,1000.0,1000.0,1000.0
315,2019-01-16,1000.0,0,0,1000.0,1000.0,1000.0
316,2019-01-15,1000.0,0,0,1000.0,1000.0,1000.0
317,2019-01-14,1000.0,0,0,1000.0,1000.0,1000.0
318,2019-01-11,1000.0,3000,3100000,1100.0,1100.0,1000.0
319,2019-01-10,1000.0,0,0,1000.0,1000.0,1000.0
320,2019-01-09,1000.0,0,0,1000.0,1000.0,1000.0
321,2019-01-08,1000.0,0,0,1000.0,1000.0,1000.0
322,2019-01-07,1000.0,0,0,1000.0,1000.0,1000.0
323,2019-01-04,1000.0,10800,10800000,1000.0,1000.0,1000.0
324,2019-01-03,1100.0,0,0,1100.0,1100.0,1100.0
325,2019-01-02,1100.0,0,0,1100.0,1100.0,1100.0
326,2018-12-28,1100.0,0,0,1100.0,1100.0,1100.0
327,2018-12-27,1100.0,0,0,1100.0,1100.0,1100.0
328,2018-12-26,1100.0,0,0,1100.0,1100.0,1100.0
329,2018-12-25,1100.0,0,0,1100.0,1100.0,1100.0
330,2018-12-24,1100.0,0,0,1100.0,1100.0,1100.0
331,2018-12-21,1100.0,2000,2200000,1100.0,1100.0,1100.0
332,2018-12-20,1000.0,0,0,1000.0,1000.0,1000.0
333,2018-12-19,1000.0,0,0,1000.0,1000.0,1000.0
334,2018-12-18,1000.0,0,0,1000.0,1000.0,1000.0
335,2018-12-17,1000.0,0,0,1000.0,1000.0,1000.0
336,2018-12-14,1000.0,1000,1000000,1000.0,1000.0,1000.0
337,2018-12-13,1100.0,0,0,1100.0,1100.0,1100.0
338,2018-12-12,1100.0,0,0,1100.0,1100.0,1100.0
339,2018-12-11,1100.0,0,0,1100.0,1100.0,1100.0
340,2018-12-10,1100.0,0,0,1100.0,1100.0,1100.0
341,2018-12-07,1100.0,0,0,1100.0,1100.0,1100.0
342,2018-12-06,1100.0,0,0,1100.0,1100.0,1100.0
343,2018-12-05,1100.0,0,0,1100.0,1100.0,1100.0
344,2018-12-04,1100.0,0,0,1100.0,1100.0,1100.0
345,2018-12-03,1100.0,0,0,1100.0,1100.0,1100.0
346,2018-11-30,1100.0,1100,1210000,1100.0,1100.0,1100.0
347,2018-11-29,1000.0,0,0,1000.0,1000.0,1000.0
348,2018-11-28,1000.0,0,0,1000.0,1000.0,1000.0
349,2018-11-27,1000.0,0,0,1000.0,1000.0,1000.0
350,2018-11-26,1000.0,0,0,1000.0,1000.0,1000.0
351,2018-11-23,1000.0,15900,16210000,1100.0,1100.0,1000.0
352,2018-11-22,1100.0,0,0,1100.0,1100.0,1100.0
353,2018-11-21,1100.0,0,0,1100.0,1100.0,1100.0
354,2018-11-20,1100.0,0,0,1100.0,1100.0,1100.0
355,2018-11-19,1100.0,0,0,1100.0,1100.0,1100.0
356,2018-11-16,1100.0,100,108000,1100.0,1100.0,1100.0
357,2018-11-15,1100.0,0,0,1100.0,1100.0,1100.0
358,2018-11-14,1100.0,0,0,1100.0,1100.0,1100.0
359,2018-11-13,1100.0,0,0,1100.0,1100.0,1100.0
360,2018-11-12,1100.0,0,0,1100.0,1100.0,1100.0
361,2018-11-09,1100.0,0,0,1100.0,1100.0,1100.0
362,2018-11-08,1100.0,0,0,1100.0,1100.0,1100.0
363,2018-11-07,1100.0,0,0,1100.0,1100.0,1100.0
364,2018-11-06,1100.0,0,0,1100.0,1100.0,1100.0
365,2018-11-05,1100.0,0,0,1100.0,1100.0,1100.0
366,2018-11-02,1100.0,7200,7920000,1100.0,1100.0,1100.0
367,2018-11-01,1100.0,0,0,1100.0,1100.0,1100.0
368,2018-10-31,1100.0,0,0,1100.0,1100.0,1100.0
369,2018-10-30,1100.0,0,0,1100.0,1100.0,1100.0
370,2018-10-29,1100.0,0,0,1100.0,1100.0,1100.0
371,2018-10-26,1100.0,0,0,1100.0,1100.0,1100.0
372,2018-10-25,1100.0,0,0,1100.0,1100.0,1100.0
373,2018-10-24,1100.0,0,0,1100.0,1100.0,1100.0
374,2018-10-23,1100.0,0,0,1100.0,1100.0,1100.0
375,2018-10-22,1100.0,0,0,1100.0,1100.0,1100.0
376,2018-10-19,1100.0,37100,40630000,1100.0,1100.0,1000.0
377,2018-10-18,1100.0,0,0,1100.0,1100.0,1100.0
378,2018-10-17,1100.0,0,0,1100.0,1100.0,1100.0
379,2018-10-16,1100.0,0,0,1100.0,1100.0,1100.0
380,2018-10-15,1100.0,0,0,1100.0,1100.0,1100.0
381,2018-10-12,1100.0,6190,6800000,1100.0,1100.0,1100.0
382,2018-10-11,1100.0,0,0,1100.0,1100.0,1100.0
383,2018-10-10,1100.0,0,0,1100.0,1100.0,1100.0
384,2018-10-09,1100.0,0,0,1100.0,1100.0,1100.0
385,2018-10-08,1100.0,0,0,1100.0,1100.0,1100.0
386,2018-10-05,1100.0,125700,138270000,1100.0,1100.0,1100.0
387,2018-10-04,1200.0,0,0,1200.0,1200.0,1200.0
388,2018-10-03,1200.0,0,0,1200.0,1200.0,1200.0
389,2018-10-02,1200.0,0,0,1200.0,1200.0,1200.0
390,2018-10-01,1200.0,0,0,1200.0,1200.0,1200.0
391,2018-09-28,1200.0,0,0,1200.0,1200.0,1200.0
392,2018-09-27,1200.0,0,0,1200.0,1200.0,1200.0
393,2018-09-26,1200.0,0,0,1200.0,1200.0,1200.0
394,2018-09-25,1200.0,0,0,1200.0,1200.0,1200.0
395,2018-09-24,1200.0,0,0,1200.0,1200.0,1200.0
396,2018-09-21,1200.0,6400,7650000,1100.0,1200.0,1100.0
397,2018-09-20,1100.0,0,0,1100.0,1100.0,1100.0
398,2018-09-19,1100.0,0,0,1100.0,1100.0,1100.0
399,2018-09-18,1100.0,0,0,1100.0,1100.0,1100.0
400,2018-09-17,1100.0,0,0,1100.0,1100.0,1100.0
401,2018-09-14,1100.0,32600,37120000,1200.0,1200.0,1100.0
402,2018-09-13,1200.0,0,0,1200.0,1200.0,1200.0
403,2018-09-12,1200.0,0,0,1200.0,1200.0,1200.0
404,2018-09-11,1200.0,0,0,1200.0,1200.0,1200.0
405,2018-09-10,1200.0,0,0,1200.0,1200.0,1200.0
406,2018-09-07,1300.0,11300,13570000,1200.0,1300.0,1200.0
407,2018-09-06,1300.0,0,0,1300.0,1300.0,1300.0
408,2018-09-05,1300.0,0,0,1300.0,1300.0,1300.0
409,2018-09-04,1300.0,0,0,1300.0,1300.0,1300.0
410,2018-08-31,1400.0,13300,17900000,1300.0,1400.0,1200.0
411,2018-08-30,1300.0,0,0,1300.0,1300.0,1300.0
412,2018-08-29,1300.0,0,0,1300.0,1300.0,1300.0
413,2018-08-28,1300.0,0,0,1300.0,1300.0,1300.0
414,2018-08-27,1300.0,0,0,1300.0,1300.0,1300.0
415,2018-08-24,1300.0,0,0,1300.0,1300.0,1300.0
416,2018-08-23,1300.0,0,0,1300.0,1300.0,1300.0
417,2018-08-22,1300.0,400,520000,1300.0,1300.0,1300.0
418,2018-08-21,1200.0,400,480000,1200.0,1200.0,1200.0
419,2018-08-20,1200.0,200,220000,1000.0,1200.0,1000.0
420,2018-08-17,1100.0,100,110000,1100.0,1100.0,1100.0
421,2018-08-16,1100.0,300,350000,1100.0,1300.0,1100.0
422,2018-08-15,1200.0,0,0,1200.0,1200.0,1200.0
423,2018-08-13,1300.0,400,490000,1200.0,1300.0,1200.0
424,2018-08-10,1200.0,0,0,1200.0,1200.0,1200.0
425,2018-08-09,1200.0,3200,3840000,1200.0,1200.0,1200.0
426,2018-08-08,1400.0,0,0,1400.0,1400.0,1400.0
427,2018-08-07,1400.0,0,0,1400.0,1400.0,1400.0
428,2018-08-06,1400.0,100,140000,1400.0,1400.0,1400.0
429,2018-08-03,1300.0,700,910000,1300.0,1300.0,1300.0
430,2018-08-02,1500.0,0,0,1500.0,1500.0,1500.0
431,2018-08-01,1500.0,0,0,1500.0,1500.0,1500.0
432,2018-07-31,1500.0,0,0,1500.0,1500.0,1500.0
433,2018-07-30,1500.0,0,0,1500.0,1500.0,1500.0
434,2018-07-27,1500.0,100,150000,1500.0,1500.0,1500.0
435,2018-07-26,1400.0,100,140000,1400.0,1400.0,1400.0
436,2018-07-25,1300.0,310,403500,1300.0,1300.0,1300.0
437,2018-07-24,1300.0,0,0,1300.0,1300.0,1300.0
438,2018-07-23,1300.0,4400,5720000,1300.0,1300.0,1300.0
439,2018-07-20,1200.0,100,120000,1200.0,1200.0,1200.0
440,2018-07-19,1100.0,500,550000,1100.0,1100.0,1100.0
441,2018-07-18,1300.0,2159,2394900,1100.0,1300.0,1100.0
442,2018-07-17,1200.0,0,0,1200.0,1200.0,1200.0
443,2018-07-16,1200.0,0,0,1200.0,1200.0,1200.0
444,2018-07-13,1200.0,0,0,1200.0,1200.0,1200.0
445,2018-07-12,1300.0,200,240000,1100.0,1300.0,1100.0
446,2018-07-11,1200.0,0,0,1200.0,1200.0,1200.0
